         1801071959 function calls (1801068537 primitive calls) in 425.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44/43    0.001    0.000  745.302   17.333 threading.py:641(wait)
    43/42   41.122    0.956  420.220   10.005 threading.py:327(wait)
   360000  135.823    0.000  334.236    0.001 sampling.py:69(sample_gumbel)
599940000  165.095    0.000  165.095    0.000 sampling.py:54(eval_gumbel_direct)
  176/171   12.986    0.074  100.113    0.585 {method 'acquire' of '_thread.lock' objects}
1199880008   69.314    0.000   69.314    0.000 {method 'random' of '_random.Random' objects}
    138/1    0.000    0.000    4.911    4.911 {built-in method builtins.exec}
      2/1    0.628    0.314    4.911    4.911 sampling.py:1(<module>)
       14    0.001    0.000    0.270    0.019 __init__.py:1(<module>)
   720032    0.157    0.000    0.157    0.000 {built-in method now}
    166/8    0.001    0.000    0.084    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
    166/8    0.000    0.000    0.084    0.010 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    160/8    0.000    0.000    0.083    0.010 <frozen importlib._bootstrap>:911(_load_unlocked)
    136/6    0.000    0.000    0.083    0.014 <frozen importlib._bootstrap_external>:1020(exec_module)
   399/18    0.000    0.000    0.083    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   364/10    0.000    0.000    0.064    0.006 {built-in method builtins.__import__}
   221/43    0.000    0.000    0.063    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.025    0.025 _index_tricks_impl.py:1(<module>)
        2    0.000    0.000    0.023    0.011 __config__.py:1(<module>)
        1    0.000    0.000    0.023    0.023 defmatrix.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _linalg.py:1(<module>)
  235/170    0.000    0.000    0.017    0.000 typing.py:426(inner)
      136    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
  160/154    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      200    0.001    0.000    0.009    0.000 typing.py:1423(__init__)
  287/286    0.003    0.000    0.009    0.000 {built-in method builtins.__build_class__}
      165    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    22/21    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1318(create_module)
    22/21    0.006    0.000    0.008    0.000 {built-in method _imp.create_dynamic}
      136    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.008    0.008 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.007    0.007 multiarray.py:1(<module>)
      136    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
       88    0.000    0.000    0.007    0.000 typing.py:574(__getitem__)
       88    0.000    0.000    0.007    0.000 typing.py:753(Union)
        1    0.000    0.000    0.007    0.007 overrides.py:1(<module>)
       60    0.000    0.000    0.007    0.000 typing.py:1446(__or__)
       37    0.000    0.000    0.006    0.000 std.py:1160(__iter__)
      203    0.002    0.000    0.006    0.000 typing.py:260(_collect_type_parameters)
       43    0.000    0.000    0.006    0.000 std.py:760(get_lock)
        1    0.000    0.000    0.006    0.006 _testutils.py:1(<module>)
       32    0.000    0.000    0.006    0.000 std.py:1325(refresh)
       31    0.000    0.000    0.006    0.000 std.py:1198(update)
        1    0.000    0.000    0.006    0.006 std.py:90(__init__)
        1    0.000    0.000    0.006    0.006 std.py:116(create_mp_lock)
      163    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
